id,loss
4,1748.3472
6,1994.737
9,10880.619
12,8289.564
15,801.63806
17,2084.19
21,2194.0974
28,822.098
32,3158.2412
43,3559.123
46,3139.0078
50,990.7175
54,1380.2843
62,2123.2515
70,2262.9763
71,6207.108
75,2340.8552
77,2520.619
81,3532.2488
83,2592.3723
87,1857.4482
97,2346.1394
103,1135.9761
119,1158.7205
120,1975.3003
127,991.1266
138,6108.5737
141,3752.757
148,888.1328
150,2707.2783
151,2699.49
158,1683.7726
160,6524.306
165,2935.5752
168,4426.9497
169,3993.7805
177,3736.0024
178,3585.1848
184,2222.102
194,9448.703
198,2001.0652
203,4210.924
211,2757.8845
217,1085.3259
219,1372.0386
221,5319.938
227,2163.3547
230,1335.4451
235,2207.4622
240,696.9813
243,3170.245
249,5650.565
253,3031.6028
258,1410.886
261,1512.3158
263,4236.3696
264,2916.3843
265,4937.2417
268,1965.2517
271,876.53625
274,6841.9775
275,682.97534
279,1440.0065
282,2156.8176
286,3483.446
288,1247.0996
294,2557.283
296,1248.8286
297,1941.6863
300,689.44543
303,12337.487
314,1232.8975
315,5047.429
321,2538.1882
323,3636.843
330,4460.2583
341,1796.2295
342,5358.4233
352,1722.2585
353,4129.227
360,6173.3413
361,2360.1562
362,4879.304
366,1218.0789
372,4103.0503
376,3594.716
377,2154.3452
379,1644.5137
380,4444.349
387,1981.7788
392,1962.9368
394,12086.162
395,1541.0359
397,1601.7136
407,6851.2373
411,9691.147
416,2498.423
417,1801.1255
419,4732.3896
428,6178.6357
431,1686.8435
436,10345.79
438,1669.6292
445,7958.9214
446,7660.4487
455,1552.9038
456,1181.7896
461,906.9865
463,1537.9441
464,3952.5332
466,1701.9753
467,1064.0282
470,1528.4904
475,1508.2888
482,3845.5325
490,3991.4387
496,2098.5693
497,6106.235
508,3327.0542
510,2019.2345
512,2343.1218
513,4029.997
523,2312.5408
531,5216.584
532,2668.1062
533,1311.4979
537,1359.6274
544,5375.6753
547,2617.3127
556,8593.292
565,1258.4465
566,1201.3359
571,1517.24
573,2341.5176
574,833.7816
581,2165.2405
585,1934.7777
589,1805.9647
597,1959.1587
601,3711.393
602,1648.0471
613,1664.4512
616,1283.8191
619,1903.6865
622,1774.1935
623,2217.3523
629,1810.4026
634,1639.0765
638,958.6625
642,1077.5583
643,2287.2358
645,924.4905
648,8584.913
652,1290.4382
664,1238.7673
666,2582.1611
672,678.62524
676,2693.61
678,4680.4175
682,1950.7065
686,3597.694
688,2625.1663
689,1447.928
690,2254.1792
692,12664.711
695,1827.875
697,4220.505
698,2054.5579
706,2559.1013
708,1720.0862
712,3378.7
715,3779.5562
717,1500.6223
725,3666.0906
729,1268.3077
737,1514.9492
739,5681.5747
747,4565.5796
753,2408.3381
758,2694.972
759,2753.5122
763,1556.3131
773,4680.4814
774,2274.9685
776,1565.8494
788,2841.9685
790,3623.0261
794,1131.3552
801,3471.545
802,1494.5846
805,2062.915
809,5940.7617
812,1450.3567
825,2340.092
828,2042.8951
830,1462.129
833,951.4029
850,5987.4546
852,7359.938
862,1107.717
863,1593.2319
864,1619.7568
865,3860.0078
868,8365.105
872,1578.9443
879,5361.1304
880,1679.6458
883,1526.9922
886,1444.7065
923,1615.8772
924,1546.4579
932,1526.2485
945,7352.749
947,7561.114
948,2504.8816
955,2892.8748
963,4535.9795
979,1170.0005
989,1679.5255
994,3218.806
995,2079.7715
998,2377.816
1000,5456.6743
1018,2165.634
1019,1931.3961
1028,2492.0288
1034,1628.9532
1038,2456.1946
1040,1379.7412
1042,1506.2969
1057,7736.1055
1058,2855.86
1063,1255.4238
1066,4555.4517
1071,4692.021
1073,4342.4907
1074,3106.529
1077,3480.8127
1080,11808.02
1088,890.1284
1096,732.6979
1097,12952.005
1105,6715.6265
1115,2221.3076
1116,3270.6028
1122,2241.618
1130,5703.2183
1133,917.7755
1137,1684.2642
1140,1884.4519
1143,9180.872
1149,7065.231
1150,880.1792
1153,652.37744
1157,1166.7025
1180,613.8067
1183,1053.9852
1188,1599.2682
1193,1145.4008
1200,749.4857
1209,4557.819
1214,1961.0977
1219,1775.346
1223,6533.3647
1227,904.4749
1228,1558.8662
1229,4288.5796
1233,798.79956
1238,6480.7563
1239,2491.3801
1241,4132.52
1243,1890.2957
1244,995.249
1245,3901.9624
1277,5101.8203
1279,3437.0
1292,12971.249
1293,1505.5547
1299,12287.518
1304,3152.3093
1313,3646.8923
1328,2233.4353
1330,962.24414
1334,1372.7014
1335,1354.8191
1336,6103.733
1341,871.0115
1344,1316.0138
1351,891.1732
1352,2448.947
1354,1658.8088
1368,3615.0457
1373,1549.9697
1375,731.8965
1381,1661.5464
1384,5758.145
1385,4606.568
1388,6065.662
1401,5946.403
1402,2766.5369
1404,1648.3711
1406,1294.0272
1409,1342.1974
1422,1474.4271
1429,3747.52
1433,7383.852
1438,1232.7522
1444,1281.0762
1446,903.7777
1450,1207.2253
1451,847.247
1454,2101.826
1458,2559.3655
1461,3701.6892
1464,7184.4614
1465,992.8856
1478,2404.601
1479,1749.198
1480,3113.778
1484,2469.3408
1486,890.9947
1488,900.38257
1489,3365.198
1491,1055.4656
1507,2490.3206
1515,2399.1753
1519,2829.8306
1528,1455.5924
1529,1100.94
1530,3511.2915
1532,1180.9097
1541,1472.009
1542,3571.3943
1547,1285.7593
1549,1142.253
1553,2829.5503
1554,3083.1013
1555,1503.7191
1559,1612.1018
1565,1488.677
1568,1222.4456
1576,4249.683
1579,1033.0786
1592,1165.9375
1596,3737.0876
1605,1104.9065
1607,1522.3396
1612,1692.436
1617,3400.9841
1619,2573.0706
1620,10851.49
1624,2774.2097
1627,1261.3071
1633,2061.3774
1636,1219.496
1639,1026.4283
1640,5383.7563
1644,1319.5063
1646,1846.7394
1647,3103.3254
1654,1340.3699
1655,3676.2556
1664,7558.053
1665,2511.076
1667,5341.1294
1669,1229.8911
1678,2237.6245
1682,2519.4531
1689,1298.3682
1690,2822.967
1693,6506.2783
1695,862.45374
1705,2535.2483
1706,2717.4924
1708,2424.8923
1716,2140.768
1720,8222.955
1722,1614.6401
1749,5666.662
1750,2034.5323
1751,6760.197
1760,2946.4421
1763,4284.203
1770,1619.8981
1777,1647.242
1785,6025.354
1791,1031.2837
1794,4390.6523
1800,1700.1672
1816,1387.0013
1817,987.96643
1821,3840.9133
1836,1436.1012
1838,2161.535
1851,1768.56
1852,3397.0261
1854,2846.0208
1856,862.58875
1865,753.82556
1872,1214.6726
1878,938.9844
1880,1109.0376
1881,1286.6401
1882,1930.5768
1886,966.59436
1892,1596.9674
1894,3159.6912
1898,2952.4402
1899,2995.9812
1902,1301.4617
1903,4170.479
1906,1847.673
1910,2765.7292
1911,1796.1462
1914,3136.5361
1929,4289.832
1932,1360.8765
1952,1183.6761
1959,1305.1328
1960,2108.8115
1976,3661.1528
1980,3567.2283
1981,2430.5266
1987,2079.6511
1994,2249.3674
2000,1267.1586
2008,2350.4158
2011,2889.0393
2012,6206.7085
2019,1972.4133
2022,3916.8313
2024,9235.666
2028,997.958
2030,4415.509
2031,8671.961
2047,2110.6238
2049,811.9651
2050,1637.9631
2051,4189.2886
2056,1936.5
2057,1578.617
2059,2145.2566
2069,3876.473
2085,1645.3342
2089,1039.1454
2090,1744.4294
2101,3418.279
2114,3283.4006
2115,1181.9078
2118,1272.0297
2119,2523.642
2125,1664.5181
2128,3643.0015
2129,1112.4548
2132,2447.6775
2133,2269.8005
2135,674.38885
2136,2120.6648
2143,1213.9849
2144,1450.7805
2145,3199.1018
2152,2020.1088
2160,3296.7058
2166,1460.6283
2169,1138.6002
2170,1544.071
2172,1807.8802
2181,1541.1016
2183,1980.5698
2185,2935.4043
2188,2935.1494
2189,2361.2175
2194,4964.531
2202,1685.2043
2208,2871.973
2227,1759.0046
2230,5650.9556
2235,2511.2087
2236,1745.1072
2244,7896.1997
2248,1646.629
2252,1603.9548
2254,1838.4998
2260,5405.5728
2263,2210.6213
2274,1749.8131
2277,937.84314
2279,7395.328
2280,12686.609
2283,2970.0234
2284,932.42615
2288,3446.6086
2292,2323.574
2295,5247.9243
2296,1004.0981
2299,2551.3767
2315,7860.266
2318,1538.8628
2329,11300.728
2337,1923.3267
2340,1150.2738
2342,2502.7102
2347,2783.2163
2349,5194.8906
2354,1112.9818
2361,2468.2815
2370,1679.8744
2378,3091.0613
2382,5130.503
2387,1488.0332
2389,1699.9814
2394,1527.1707
2396,2355.5452
2400,3180.1052
2407,2362.3518
2414,1210.3274
2415,2298.8025
2421,2501.2012
2427,1777.1875
2428,3062.8533
2430,2497.0676
2435,2178.5261
2445,5194.1387
2446,1668.5127
2447,1591.0427
2449,2126.444
2451,2357.5017
2458,15460.914
2462,12349.275
2463,2360.557
2467,2606.5276
2471,6577.7944
2475,2004.3252
2478,3151.986
2483,4975.1177
2485,1262.3862
2487,1330.0061
2494,705.13916
2497,2340.8948
2499,1467.5695
2503,1555.9485
2513,2546.6257
2515,2457.4805
2522,1850.4613
2523,1405.8657
2528,2945.8606
2532,5720.6323
2536,1150.3545
2538,2030.3418
2539,917.5034
2540,2240.0183
2545,5652.71
2548,1486.534
2549,1130.6526
2553,2641.0378
2563,1750.9647
2566,2446.284
2574,1490.541
2575,3603.6438
2584,3291.3958
2588,3201.4148
2589,1020.00006
2592,1696.2799
2596,1919.5575
2598,1594.387
2602,1108.0845
2603,1436.0732
2607,2858.832
2609,1304.5144
2611,5980.275
2627,1575.4832
2628,2395.0715
2630,3261.9988
2633,2237.7766
2636,8228.836
2640,1154.2417
2641,1235.6677
2657,5583.3774
2659,1219.4688
2662,1199.5212
2663,1811.9135
2667,2377.276
2670,1061.4369
2682,1974.7413
2694,4451.4263
2699,8796.411
2700,3914.993
2703,5666.883
2708,2944.6516
2714,1131.7156
2725,856.11633
2726,1353.0355
2727,1142.0068
2732,1818.6815
2733,7466.3745
2736,6120.517
2745,2654.823
2760,1493.5178
2764,2152.521
2765,6118.3354
2766,678.7152
2775,1757.8458
2783,1730.8091
2784,1059.8843
2786,2524.7136
2801,1469.9745
2803,2394.5151
2813,6158.657
2815,8225.781
2816,1475.2721
2818,2855.5334
2819,3026.5261
2822,1477.4229
2825,2149.5354
2826,1672.7166
2830,1779.9402
2834,1380.1189
2835,6406.1235
2856,2749.8372
2873,7557.701
2886,6806.5356
2892,4232.0083
2896,940.38684
2897,1024.8
2899,2147.9675
2901,1336.345
2909,6825.1353
2914,4219.983
2915,1125.2302
2916,2214.2668
2919,928.5835
2926,2881.6287
2927,2463.1565
2933,1669.4326
2934,3290.5488
2941,1884.2637
2942,1912.2659
2946,3053.9846
2949,1770.543
2952,1640.0325
2957,10110.132
2962,2541.2502
